Name,Radius,Mass,Distance
SDSS J000013.54+255418.6Â [de],0.1017353699999999,0.045820224,46.1
2MASS J00040288-6410358,0.1675036899999999,0.018137172,192.0
2MASS J00242463-0158201,0.11201167,0.075412452,37.7
2MASS J00274197+0503417,0.1479787199999999,0.029592228,236.0
2MASSW J0030300-145033,0.1007077399999999,0.051547752,87.2
2MASS J00332386-1521309Â [de],0.1469510899999999,0.027683052,131.0
2MASS J00345157+0523050,0.0965972199999999,0.040092696,31.0
2MASS 0036+1821,0.0965972199999999,0.040092696,28.6
2MASSW J0045214+163445,0.16647606,0.021955524,57.0
WISEP J004701.06+680352.1Â [fr],0.1335918999999999,0.011455056,40.0
2MASS J00501994-3322402Â [de],0.0965972199999999,0.03818352,34.0
2MASS J00584253-0651239Â [de],0.1469510899999999,0.027683052,96.0
2MASSI J0103320+193536,0.1007077399999999,0.049638576,70.0
SDSSp J010752.33+004156.1Â [de],0.1007077399999999,0.049638576,51.0
2MASSI J0117474-340325Â [de],0.16647606,0.01909176,163.0
2MASS J01415823-4633574Â [de],0.16544843,0.01909176,130.0
SDSS J015141.69+124429.6,0.0996801099999999,0.044865636,70.0
SDSS J020742.48+000056.2Â [de],0.0996801099999999,0.044865636,111.0
2MASS J02103857-3015313,0.15722739,0.01431882,101.0
2MASS J02340093-6442068,0.16647606,0.01909176,155.0
2MASS J02411151-0326587Â [de],0.1448958299999999,0.025773876,152.0
2MASS J02431371âˆ’2453298,0.1017353699999999,0.031501404,35.0
LP 771-21,0.11098404,0.074457864,53.0
Teegarden's star,0.1305090099999999,0.07636704,12.578
2MASS J02535980+3206373,0.1952496999999999,0.06204822,184.0
WISE J0254+0223,0.1952496999999999,0.06204822,24.0
DEN 0255-4700,0.0996801099999999,0.07636704,16.2
2MASS J03185403-3421292Â [de],0.0996801099999999,0.046774812,45.0
2MASS J03205965+1854233,0.1181774499999999,0.084003744,47.0
2MASS J03231002-4631237,0.17058658,0.021955524,192.0
SDSS J032553.17+042540.1,0.0976248499999999,0.04295646,59.0
2MASS J03264225-2102057Â [de],0.1335918999999999,0.017182584,80.0
2MASS J03284265+2302051Â [de],0.1007077399999999,0.051547752,98.0
2MASS J03341218-4953322,0.10687352,0.069684924,27.0
LP 944-20,0.1469510899999999,0.069684924,20.9
2MASP J0345432+254023,0.10790115,0.070639512,88.0
